Transaction_Name,Minimum,Average,Maximum,Std_Deviation,ninety_Percent,Pass,Fail,Stop
DoublePlayInternetPhone_Finish_XX_CDI_accounts,0.059,0.074,0.422,0.022,0.082,865,0,0
DoublePlayInternetPhone_Finish_XX_CDI_customers,0.031,0.06,0.288,0.017,0.078,865,0,0
DoublePlayInternetPhone_Finish_XX_CDI_customers_account,0.094,0.116,0.198,0.014,0.13,865,0,0
DoublePlayInternetPhone_Finish_XX_CPE_Equipments_SUCCESS,0.03,0.056,0.421,0.022,0.069,865,0,0
DoublePlayInternetPhone_Finish_XX_FFM_AddressID,0.031,0.057,0.365,0.021,0.067,864,0,0
DoublePlayInternetPhone_Finish_XX_OE_account,0.144,0.511,4.493,0.315,0.758,864,0,0
DoublePlayInternetPhone_Finish_XX_OE_CheckOrderStatus,0.099,0.325,3.755,0.23,0.515,2595,0,0
DoublePlayInternetPhone_Finish_XX_OE_CustOrdHist,0.562,1.173,7.087,0.562,1.718,865,0,0
DoublePlayInternetPhone_Finish_XX_OE_newCustDesktop,0.437,0.928,4.689,0.406,1.409,865,0,0
DoublePlayInternetPhone_Finish_XX_OE_prepareQuote,0.312,0.707,5.836,0.369,0.987,865,0,0
DoublePlayInternetPhone_Finish_XX_OE_refreshDesktop,0.031,0.103,1.113,0.06,0.155,865,0,0
DoublePlayInternetPhone_Finish_XX_OE_shortSummary,0.78,1.684,5.656,0.618,2.391,865,0,0
DoublePlayInternetPhone_Finish_XX_SA_ServiceAvailability,0,0.019,0.562,0.014,0.024,3458,0,0
DoublePlayInternetPhone_Finish_XX_TSRWS_getCityNode,0,0.006,0.573,0.017,0.013,2595,0,0
DoublePlayInternetPhone_Finish_XX_TSRWS_RegionalNodeAndServerStatus,0,0.031,5.737,0.213,0.03,1730,0,0
DoublePlayInternetPhone_Total,9.543,16.827,32.363,2.869,20.087,866,1,0
DoublePlayTVInternet_Login,0.573,0.625,0.677,0.052,0.677,2,0,0
DoublePlayTVInternet_AddressSearch,0.215,0.26,0.545,0.03,0.294,664,1,0
DoublePlayTVInternet_AddressSearch_XX_AIS_Addresses,0.215,0.26,0.545,0.03,0.293,664,1,0
